cluster,n_points,bus_stop,bicycle_parking,station,parking,other,diversity_score,dominant_type
0,72,27,40,5,0,0,3,bicycle_parking
1,19,12,4,1,2,0,4,bus_stop
2,22,15,0,0,7,0,2,bus_stop
3,5,5,0,0,0,0,1,bus_stop
4,14,9,1,1,3,0,4,bus_stop
5,27,15,10,2,0,0,3,bus_stop
6,14,12,1,1,0,0,3,bus_stop
7,9,6,2,1,0,0,3,bus_stop
8,18,5,10,2,1,0,4,bicycle_parking
9,15,8,5,1,1,0,4,bus_stop
10,9,5,2,1,1,0,4,bus_stop
11,5,5,0,0,0,0,1,bus_stop
12,8,5,2,1,0,0,3,bus_stop
13,41,18,5,2,16,0,4,bus_stop
14,17,11,4,2,0,0,3,bus_stop
15,8,4,3,0,1,0,3,bus_stop
16,14,10,3,0,1,0,3,bus_stop
17,29,12,13,0,4,0,3,bicycle_parking
18,12,5,6,0,1,0,3,bicycle_parking
19,20,16,2,2,0,0,3,bus_stop
20,25,17,4,2,2,0,4,bus_stop
21,25,12,12,0,1,0,3,bus_stop
22,20,2,15,2,1,0,4,bicycle_parking
23,5,4,0,0,1,0,2,bus_stop
24,6,6,0,0,0,0,1,bus_stop
25,41,8,33,0,0,0,2,bicycle_parking
26,11,7,2,1,1,0,4,bus_stop
27,7,5,2,0,0,0,2,bus_stop
28,7,3,3,1,0,0,3,bus_stop
29,26,14,10,2,0,0,3,bus_stop
30,7,6,1,0,0,0,2,bus_stop
31,7,2,4,1,0,0,3,bicycle_parking
32,11,5,6,0,0,0,2,bicycle_parking
33,7,5,1,1,0,0,3,bus_stop
34,9,8,1,0,0,0,2,bus_stop
35,5,5,0,0,0,0,1,bus_stop
36,12,10,0,0,2,0,2,bus_stop
37,9,8,0,0,1,0,2,bus_stop
38,25,18,6,1,0,0,3,bus_stop
39,9,9,0,0,0,0,1,bus_stop
40,5,4,0,1,0,0,2,bus_stop
41,6,5,0,0,1,0,2,bus_stop
42,16,13,1,1,1,0,4,bus_stop
43,18,13,5,0,0,0,2,bus_stop
44,13,7,6,0,0,0,2,bus_stop
45,7,7,0,0,0,0,1,bus_stop
46,7,2,5,0,0,0,2,bicycle_parking
47,24,13,7,2,2,0,4,bus_stop
48,9,2,6,0,1,0,3,bicycle_parking
49,6,5,0,1,0,0,2,bus_stop
50,8,7,1,0,0,0,2,bus_stop
51,10,10,0,0,0,0,1,bus_stop
52,7,7,0,0,0,0,1,bus_stop
53,10,4,5,1,0,0,3,bicycle_parking
54,5,4,0,0,1,0,2,bus_stop
55,5,5,0,0,0,0,1,bus_stop
56,6,2,3,1,0,0,3,bicycle_parking
57,12,11,0,1,0,0,2,bus_stop
58,5,5,0,0,0,0,1,bus_stop
59,6,5,0,1,0,0,2,bus_stop
60,147,54,53,7,33,0,4,bus_stop
61,5,5,0,0,0,0,1,bus_stop
62,5,5,0,0,0,0,1,bus_stop
63,15,10,4,1,0,0,3,bus_stop
64,11,5,5,1,0,0,3,bus_stop
65,9,4,4,1,0,0,3,bus_stop
66,12,12,0,0,0,0,1,bus_stop
67,10,9,0,1,0,0,2,bus_stop
68,5,2,0,0,3,0,2,parking
69,7,7,0,0,0,0,1,bus_stop
70,6,3,3,0,0,0,2,bus_stop
71,5,4,0,0,1,0,2,bus_stop
72,7,5,1,1,0,0,3,bus_stop
73,6,3,3,0,0,0,2,bus_stop
74,20,15,3,2,0,0,3,bus_stop
75,67,38,21,3,5,0,4,bus_stop
76,6,6,0,0,0,0,1,bus_stop
77,6,6,0,0,0,0,1,bus_stop
78,5,5,0,0,0,0,1,bus_stop
79,36,13,20,2,1,0,4,bicycle_parking
80,9,7,1,0,1,0,3,bus_stop
81,9,9,0,0,0,0,1,bus_stop
82,13,8,4,1,0,0,3,bus_stop
83,8,4,4,0,0,0,2,bus_stop
84,24,21,0,1,2,0,3,bus_stop
85,12,11,0,1,0,0,2,bus_stop
86,12,8,3,1,0,0,3,bus_stop
87,10,8,2,0,0,0,2,bus_stop
88,13,10,2,0,1,0,3,bus_stop
89,5,2,2,1,0,0,3,bus_stop
90,13,7,4,1,1,0,4,bus_stop
91,11,4,7,0,0,0,2,bicycle_parking
92,5,4,0,1,0,0,2,bus_stop
93,15,7,6,1,1,0,4,bus_stop
94,14,9,3,1,1,0,4,bus_stop
95,17,16,1,0,0,0,2,bus_stop
96,12,9,0,0,3,0,2,bus_stop
97,11,8,2,1,0,0,3,bus_stop
98,5,4,0,0,1,0,2,bus_stop
99,6,2,3,1,0,0,3,bicycle_parking
100,12,6,4,2,0,0,3,bus_stop
101,7,3,0,0,4,0,2,parking
102,15,4,10,1,0,0,3,bicycle_parking
103,8,3,5,0,0,0,2,bicycle_parking
104,34,4,24,0,6,0,3,bicycle_parking
105,9,6,2,1,0,0,3,bus_stop
106,15,5,8,1,1,0,4,bicycle_parking
107,14,4,9,1,0,0,3,bicycle_parking
